transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,service_time_ms,mean_service_time_ms,std_service_time_ms,min_service_time_ms,max_service_time_ms,n_successful_runs,final_block,robust_z_type_node,abs_robust_z
dc9791e0-cb42-5271-bdad-93b8230dd161,388818,17,CASH_OUT,209215.86,944555.0,33587.03,Medium,0.75,2048,33.821116,35.32539,4.029368068990658,31.304972,39.707096,5,4,-5.006040553999389,5.006040553999389
3a26f065-7e73-59a4-9eef-d3025b75f0b1,3550263,260,TRANSFER,42973.69,98964.66,200780.56,High,1.0,4096,42.911684,44.4894366,6.171814208292226,38.079746,51.273642,5,6,4.995671414673429,4.995671414673429
af42b1a7-fe0a-52c3-83ff-ff5adc797381,3032641,234,PAYMENT,11580.56,14056.86,0.0,High,1.0,4096,28.435418,27.5628988,1.4193363324919497,25.975639,28.689973,5,6,4.911836418870855,4.911836418870855
ace314b2-306e-5b2d-9675-1b730376ae7d,1591195,156,DEBIT,3313.72,99362.0,2149446.35,Medium,0.75,2048,43.133947,43.5716038,4.6757744395826775,39.622818,51.126657,5,7,4.620649709052429,4.620649709052429
a601a052-a58b-534f-8102-ac88eae0de8a,1964094,178,DEBIT,6126.08,14081.0,38724.6,Medium,0.75,2048,43.096628,42.648104,2.4884694335963813,38.511484,45.200142,5,6,4.554314264406898,4.554314264406898
11aebadb-66f8-5dad-b88f-38cf092fb1db,3462643,257,CASH_IN,143201.67,2275386.54,6125909.53,Medium,0.75,2048,30.832749,28.7838918,5.527674932754792,21.715381,35.706508,5,10,4.476643685428806,4.476643685428806
2ce89939-9ca1-5a33-89a0-b5bca7ee1f9c,3715461,278,CASH_OUT,62590.13,98368.65,3854314.18,Medium,0.75,2048,39.578571,37.4631704,3.460606423969475,32.314163,40.360414,5,4,4.4213602912748655,4.4213602912748655
1d940974-5708-559c-8fba-f9215072442f,3408110,255,CASH_OUT,369918.66,424482.0,585540.38,High,1.0,4096,32.20569,31.3122624,1.9482676517703603,29.109388,33.120352,5,6,4.415600726200465,4.415600726200465
6948067b-4202-5003-b359-6ad4a0a977de,3589231,262,DEBIT,581.55,22253.0,1098859.75,Medium,0.75,2048,42.929216,42.2002334,2.334883481877906,38.759459,44.296299,5,6,4.256735297687556,4.256735297687556
3d656471-8cc9-5f93-9d79-428b797d3231,2682948,210,DEBIT,3628.45,11232.0,943119.4,Medium,0.75,2048,42.904165,42.9748516,4.5612685955928205,39.102172,50.465632,5,6,4.212206526182017,4.212206526182017
ce10a15d-7230-5663-b432-73a4eab0c805,1787164,162,PAYMENT,5670.12,261376.7,0.0,Medium,0.75,2048,34.887531,33.7374382,4.846518552100127,28.60205,39.375838,5,7,4.182271034844338,4.182271034844338
73271237-c3b4-5004-81a6-22e6f0b50d6c,6336130,691,DEBIT,2098.06,20313.0,86872855.07,Medium,0.75,2048,42.884191,41.4978078,2.0359040391270176,38.778462,43.014503,5,4,4.176702247628202,4.176702247628202
2182c8ab-233e-5794-bf9a-b805cccd087f,1547627,154,CASH_OUT,19109.57,179763.0,1580886.45,Medium,0.75,2048,34.330715,34.8954722,2.56827014610938,32.47334,38.150453,5,5,-4.171610403290288,4.171610403290288
849b5edf-3a75-54bb-ac29-5f705290377d,3157769,237,DEBIT,483.96,5025.0,376074.97,Medium,0.75,2048,42.832822,41.3184792,2.439566136931155,38.459207,43.512895,5,6,4.08539258080978,4.08539258080978
3202960b-2340-5c6b-beb1-f97e53d3a33c,3107404,235,CASH_OUT,23908.47,44455.0,0.0,Medium,0.75,2048,39.350934,37.2843392,2.9619138032705647,33.139944,39.41814,5,6,4.048621772916382,4.048621772916382
8f49f6d7-184a-5101-a185-c5561a2d4d86,4972133,352,CASH_OUT,12584.3,161349.0,0.0,Medium,0.75,2048,34.415387,36.0497566,4.309549529037843,31.537058,41.645691,5,4,-4.0329663523387635,4.0329663523387635
3af062ad-5815-5a8c-9f8b-3f09e9865e2e,5644407,396,DEBIT,4717.15,219219.0,6749044.18,Medium,0.75,2048,42.772498,41.2718766,3.48590631412353,36.602355,44.908487,5,6,3.9781651802149756,3.9781651802149756
35d1cc07-98f9-5f64-9129-0e64179d3650,3748319,279,CASH_OUT,213736.72,238851.0,1442636.24,Medium,0.75,2048,39.306733,37.8105044,2.731643083447728,34.791619,40.468895,5,2,3.9762459497858536,3.9762459497858536
e09c2178-5d0d-5913-8ea2-ba35ba399a14,362260,17,DEBIT,4731.92,487532.97,680313.62,Medium,0.75,2048,42.76927,42.3790228,2.341870493918845,39.78469,44.722606,5,7,3.9724273304516973,3.9724273304516973
a0e9eec9-5339-5869-8bd0-4a3b69db0200,2609765,208,DEBIT,5320.41,579027.6,153749.06,Medium,0.75,2048,42.75745,41.5810438,2.830727444778054,38.479,45.030505,5,6,3.951416988381699,3.951416988381699
b2729870-e175-5fa3-99e6-b0231930830b,562461,22,PAYMENT,14685.98,21097.0,0.0,Low,0.6,1024,36.53831,40.1973074,5.24725555352751,36.256008,46.027645,5,8,-3.916812131282085,3.916812131282085
a5f9296d-3efa-5bf3-b9a6-a6c444ccee82,6258023,599,DEBIT,484.97,18618.0,126912.87,Medium,0.75,2048,42.737945,41.7904898,2.471856164048023,38.8095,44.058282,5,6,3.916746368916791,3.916746368916791
bfdb815b-1570-5c79-9479-b0bfff1f6780,562410,22,PAYMENT,2703.33,50100.0,0.0,High,1.0,4096,27.597139,27.1827242,1.365025921503581,25.78204,28.908723,5,6,3.8619645529410165,3.8619645529410165
134d33e6-a3a2-5550-b005-c20a8cc38221,1004340,46,DEBIT,3239.22,25449.0,338620.55,Medium,0.75,2048,42.70481,41.6666022,2.8388242289096017,38.684114,45.066919,5,6,3.8578480876571115,3.8578480876571115
54c0ed51-46da-5da8-9f73-58b52d6e42c3,1184963,132,DEBIT,1410.65,37082.22,365714.78,Medium,0.75,2048,42.70425,41.2397388,2.349371046494296,38.484303,43.081296,5,6,3.8568526738196156,3.8568526738196156
5baa184a-7598-5583-9a53-53c4490596ee,2971916,231,CASH_OUT,34624.31,458468.0,0.0,Medium,0.75,2048,34.52683,35.2251964,1.9215576424217145,32.747548,37.348172,5,8,-3.8504867962849434,3.8504867962849434
0b1b6c93-e198-5fe7-8c52-ce99b8aa8761,1672469,158,CASH_OUT,19508.04,619376.0,0.0,Medium,0.75,2048,39.216224,37.5579492,2.695054440917884,34.013338,39.992424,5,6,3.828044249016161,3.828044249016161
936d0d2b-408f-5586-8f6d-16aa87452b75,3676632,276,CASH_OUT,88752.02,192678.0,2419753.22,High,1.0,4096,31.617479,31.2285108,1.8779487607599143,29.196912,33.035505,5,6,3.7949291201320055,3.7949291201320055
c79fb208-7d60-5e42-8c0e-40d347e79470,2888393,228,DEBIT,6948.48,121174.09,445949.39,Medium,0.75,2048,42.624393,41.3326066,2.01537943183816,38.668668,43.006305,5,6,3.7149048830680154,3.7149048830680154
68a1258c-983d-5e7f-b865-ad70be4d3746,4840863,347,DEBIT,3963.45,51983.0,928592.37,Medium,0.75,2048,42.621333,42.4486988,2.380683820722881,39.186743,44.710718,5,6,3.709465657455989,3.709465657455989
44aa37e4-dee0-5fab-801c-ad05c8679e55,4595295,328,CASH_IN,227939.93,320417.62,307672.47,Medium,0.75,2048,30.289252,28.7599248,2.5116366568245296,25.636164,31.013877,5,10,3.682407781205689,3.682407781205689
5e7e1664-67bf-5efc-a286-7f1b9bdc20a0,1399585,139,CASH_OUT,229550.18,919300.0,0.0,Medium,0.75,2048,34.656123,35.677227800000004,2.295449978081575,33.941426,39.664357,5,4,-3.6387792036961892,3.6387792036961892
aec0ed2f-99e9-595e-952d-c532d30e990a,139527,11,CASH_OUT,277987.54,3069097.81,74353.78,Medium,0.75,2048,34.690248,34.986447,2.3227731349796112,32.653054,37.513699,5,8,-3.5829020750265004,3.5829020750265004
4f4461c6-d62b-5328-8f3b-800dd35e5de1,4375901,311,DEBIT,1922.39,20399.0,210001.27,Low,0.6,1024,54.404939,52.179478,4.227648060074536,45.091357,55.230956,5,1,3.5462939528218533,3.5462939528218533
73f48629-0301-51f3-8375-85d1dfb12f0a,100717,10,DEBIT,6746.16,392092.32,1442434.83,Low,0.6,1024,54.398444,52.682265,3.9893459003447536,48.024407,56.117211,5,1,3.538532179343511,3.538532179343511
6b80f56f-40da-5f35-bdcf-37280fefba87,5983769,408,DEBIT,1154.23,200729.0,210724.74,Medium,0.75,2048,42.524148,41.3652952,1.8456174477032607,38.767942,42.769016,5,6,3.536716918532739,3.536716918532739
537539b2-1eca-55bc-ae30-d94747c11b06,2992469,232,DEBIT,13985.97,32144.0,940444.52,Medium,0.75,2048,42.523681,41.0220298,2.313685788870584,38.404496,42.814569,5,6,3.535886814493268,3.535886814493268
3f75da4c-2fac-5a28-bd1f-7b4733dd02bc,4212209,305,DEBIT,4920.23,31215.0,224892.78,Medium,0.75,2048,42.523071,41.0351644,2.2177627141239205,38.58505,42.785196,5,6,3.5348025244202783,3.5348025244202783
