split,transaction_id,state_replica,type,node_profile,active_workers,queue_length,simulator_regime,service_time_ms,actual_queue_wait_ms,completion_time_ms
train,027edc78-b22f-5a49-8bea-93a58d26fd20,1,CASH_IN,High,8,0,normal,20.522681,0.0,20.522681
train,027edc78-b22f-5a49-8bea-93a58d26fd20,2,CASH_IN,High,9,0,normal,20.522681,0.0,20.522681
train,027edc78-b22f-5a49-8bea-93a58d26fd20,0,CASH_IN,Low,2,0,idle,37.720026,0.0,37.720026
train,027edc78-b22f-5a49-8bea-93a58d26fd20,1,CASH_IN,Low,10,16,surge,37.720026,79.61321509309084,117.33324109309083
train,027edc78-b22f-5a49-8bea-93a58d26fd20,2,CASH_IN,Low,1,0,idle,37.720026,0.0,37.720026
train,027edc78-b22f-5a49-8bea-93a58d26fd20,0,CASH_IN,Medium,10,2,busy,27.884205,16.797228363360635,44.68143336336064
train,027edc78-b22f-5a49-8bea-93a58d26fd20,1,CASH_IN,Medium,1,0,idle,27.884205,0.0,27.884205
train,027edc78-b22f-5a49-8bea-93a58d26fd20,2,CASH_IN,Medium,10,17,surge,27.884205,61.620458561479026,89.50466356147902
train,02f15c4d-03d8-5ae0-8951-33b67a411614,0,CASH_IN,High,10,18,surge,21.638728,51.37316854841432,73.01189654841431
train,02f15c4d-03d8-5ae0-8951-33b67a411614,1,CASH_IN,High,9,0,normal,21.638728,0.0,21.638728
train,02f15c4d-03d8-5ae0-8951-33b67a411614,2,CASH_IN,High,3,0,idle,21.638728,0.0,21.638728
train,02f15c4d-03d8-5ae0-8951-33b67a411614,0,CASH_IN,Low,5,0,normal,39.44726,0.0,39.44726
train,02f15c4d-03d8-5ae0-8951-33b67a411614,1,CASH_IN,Low,6,0,normal,39.44726,0.0,39.44726
train,02f15c4d-03d8-5ae0-8951-33b67a411614,2,CASH_IN,Low,5,0,normal,39.44726,0.0,39.44726
train,02f15c4d-03d8-5ae0-8951-33b67a411614,0,CASH_IN,Medium,6,0,normal,28.885096,0.0,28.885096
train,02f15c4d-03d8-5ae0-8951-33b67a411614,1,CASH_IN,Medium,10,13,surge,28.885096,49.31850045566009,78.20359645566009
train,02f15c4d-03d8-5ae0-8951-33b67a411614,2,CASH_IN,Medium,3,0,idle,28.885096,0.0,28.885096
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,0,CASH_IN,High,10,2,busy,20.584487,9.809151342917447,30.39363834291745
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,1,CASH_IN,High,9,0,normal,20.584487,0.0,20.584487
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,2,CASH_IN,High,10,26,surge,20.584487,77.74081131543753,98.32529831543752
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,0,CASH_IN,Low,10,28,surge,35.328827,136.14852985708595,171.47735685708594
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,1,CASH_IN,Low,5,0,normal,35.328827,0.0,35.328827
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,2,CASH_IN,Low,10,9,busy,35.328827,42.10849988905968,77.43732688905968
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,0,CASH_IN,Medium,10,4,busy,28.191534,13.101176288705258,41.29271028870526
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,1,CASH_IN,Medium,10,29,surge,28.191534,109.47958996029237,137.67112396029236
train,0331c0ca-4ed3-5b7e-9af1-ea42c5f3eea7,2,CASH_IN,Medium,10,5,busy,28.191534,10.751846533887397,38.9433805338874
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,0,TRANSFER,High,8,0,normal,34.49264,0.0,34.49264
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,1,TRANSFER,High,7,0,normal,34.49264,0.0,34.49264
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,2,TRANSFER,High,4,0,idle,34.49264,0.0,34.49264
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,0,TRANSFER,Low,10,8,busy,59.85752,23.93414565478964,83.79166565478964
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,1,TRANSFER,Low,10,4,busy,59.85752,34.7518328851359,94.6093528851359
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,2,TRANSFER,Low,10,6,busy,59.85752,35.43107856715662,95.28859856715661
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,0,TRANSFER,Medium,10,26,surge,44.567274,95.09140841175724,139.65868241175724
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,1,TRANSFER,Medium,1,0,idle,44.567274,0.0,44.567274
train,034ace7a-2692-5f1c-b3e6-e789af5d2944,2,TRANSFER,Medium,5,0,normal,44.567274,0.0,44.567274
train,03800b45-8301-53c2-9f30-6b7dd80497ae,0,CASH_IN,High,2,0,idle,21.161629,0.0,21.161629
train,03800b45-8301-53c2-9f30-6b7dd80497ae,1,CASH_IN,High,2,0,idle,21.161629,0.0,21.161629
train,03800b45-8301-53c2-9f30-6b7dd80497ae,2,CASH_IN,High,0,0,idle,21.161629,0.0,21.161629
train,03800b45-8301-53c2-9f30-6b7dd80497ae,0,CASH_IN,Low,10,0,busy,31.401046,5.391222480238067,36.792268480238064
train,03800b45-8301-53c2-9f30-6b7dd80497ae,1,CASH_IN,Low,10,2,busy,31.401046,9.893902612012324,41.29494861201233
train,03800b45-8301-53c2-9f30-6b7dd80497ae,2,CASH_IN,Low,0,0,idle,31.401046,0.0,31.401046
train,03800b45-8301-53c2-9f30-6b7dd80497ae,0,CASH_IN,Medium,7,0,normal,27.246777,0.0,27.246777
train,03800b45-8301-53c2-9f30-6b7dd80497ae,1,CASH_IN,Medium,10,5,busy,27.246777,25.429943417688186,52.67672041768819
train,03800b45-8301-53c2-9f30-6b7dd80497ae,2,CASH_IN,Medium,7,0,normal,27.246777,0.0,27.246777
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,0,CASH_OUT,High,10,19,surge,27.190341,59.0933611155757,86.28370211557571
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,1,CASH_OUT,High,10,4,busy,27.190341,12.048948537405279,39.23928953740528
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,2,CASH_OUT,High,0,0,idle,27.190341,0.0,27.190341
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,0,CASH_OUT,Low,8,0,normal,42.573071,0.0,42.573071
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,1,CASH_OUT,Low,0,0,idle,42.573071,0.0,42.573071
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,2,CASH_OUT,Low,10,0,busy,42.573071,3.169802146520593,45.742873146520594
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,0,CASH_OUT,Medium,10,2,busy,37.59729,6.755797961279461,44.35308796127946
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,1,CASH_OUT,Medium,5,0,normal,37.59729,0.0,37.59729
train,03c2d846-b2d7-57e1-8ffc-2c800782ab44,2,CASH_OUT,Medium,10,0,busy,37.59729,9.224896989517768,46.82218698951777
train,04147f2c-067b-5551-99e6-2a9106a91ad3,0,CASH_IN,High,6,0,normal,21.250065,0.0,21.250065
train,04147f2c-067b-5551-99e6-2a9106a91ad3,1,CASH_IN,High,10,18,surge,21.250065,52.46248445651456,73.71254945651455
train,04147f2c-067b-5551-99e6-2a9106a91ad3,2,CASH_IN,High,4,0,idle,21.250065,0.0,21.250065
train,04147f2c-067b-5551-99e6-2a9106a91ad3,0,CASH_IN,Low,0,0,idle,35.748624,0.0,35.748624
train,04147f2c-067b-5551-99e6-2a9106a91ad3,1,CASH_IN,Low,10,3,busy,35.748624,18.664538607824003,54.413162607824006
train,04147f2c-067b-5551-99e6-2a9106a91ad3,2,CASH_IN,Low,5,0,normal,35.748624,0.0,35.748624
train,04147f2c-067b-5551-99e6-2a9106a91ad3,0,CASH_IN,Medium,0,0,idle,27.548608,0.0,27.548608
train,04147f2c-067b-5551-99e6-2a9106a91ad3,1,CASH_IN,Medium,10,3,busy,27.548608,11.438329246101283,38.986937246101284
train,04147f2c-067b-5551-99e6-2a9106a91ad3,2,CASH_IN,Medium,10,7,busy,27.548608,13.808878139778813,41.357486139778814
train,044c92c1-f354-5ff1-b135-2fda326aba5d,0,TRANSFER,High,0,0,idle,35.492888,0.0,35.492888
train,044c92c1-f354-5ff1-b135-2fda326aba5d,1,TRANSFER,High,5,0,normal,35.492888,0.0,35.492888
train,044c92c1-f354-5ff1-b135-2fda326aba5d,2,TRANSFER,High,5,0,normal,35.492888,0.0,35.492888
train,044c92c1-f354-5ff1-b135-2fda326aba5d,0,TRANSFER,Low,7,0,normal,57.666637,0.0,57.666637
train,044c92c1-f354-5ff1-b135-2fda326aba5d,1,TRANSFER,Low,8,0,normal,57.666637,0.0,57.666637
train,044c92c1-f354-5ff1-b135-2fda326aba5d,2,TRANSFER,Low,6,0,normal,57.666637,0.0,57.666637
train,044c92c1-f354-5ff1-b135-2fda326aba5d,0,TRANSFER,Medium,5,0,normal,47.761104,0.0,47.761104
train,044c92c1-f354-5ff1-b135-2fda326aba5d,1,TRANSFER,Medium,5,0,normal,47.761104,0.0,47.761104
train,044c92c1-f354-5ff1-b135-2fda326aba5d,2,TRANSFER,Medium,10,9,busy,47.761104,30.795582314936418,78.55668631493643
train,048c2934-3022-5d0d-a6ea-c03796b449ed,0,CASH_OUT,High,1,0,idle,28.174795,0.0,28.174795
train,048c2934-3022-5d0d-a6ea-c03796b449ed,1,CASH_OUT,High,2,0,idle,28.174795,0.0,28.174795
train,048c2934-3022-5d0d-a6ea-c03796b449ed,2,CASH_OUT,High,6,0,normal,28.174795,0.0,28.174795
train,048c2934-3022-5d0d-a6ea-c03796b449ed,0,CASH_OUT,Low,10,10,busy,45.633336,50.50531972830124,96.13865572830125
train,048c2934-3022-5d0d-a6ea-c03796b449ed,1,CASH_OUT,Low,10,12,surge,45.633336,66.43337152053105,112.06670752053105
train,048c2934-3022-5d0d-a6ea-c03796b449ed,2,CASH_OUT,Low,9,0,normal,45.633336,0.0,45.633336
train,048c2934-3022-5d0d-a6ea-c03796b449ed,0,CASH_OUT,Medium,4,0,idle,36.958512,0.0,36.958512
train,048c2934-3022-5d0d-a6ea-c03796b449ed,1,CASH_OUT,Medium,5,0,normal,36.958512,0.0,36.958512
train,048c2934-3022-5d0d-a6ea-c03796b449ed,2,CASH_OUT,Medium,1,0,idle,36.958512,0.0,36.958512
train,05089c32-86d3-566e-8442-8504f02a4fdf,0,PAYMENT,High,8,0,normal,24.204766,0.0,24.204766
train,05089c32-86d3-566e-8442-8504f02a4fdf,1,PAYMENT,High,5,0,normal,24.204766,0.0,24.204766
train,05089c32-86d3-566e-8442-8504f02a4fdf,2,PAYMENT,High,4,0,idle,24.204766,0.0,24.204766
train,05089c32-86d3-566e-8442-8504f02a4fdf,0,PAYMENT,Low,7,0,normal,39.51519,0.0,39.51519
train,05089c32-86d3-566e-8442-8504f02a4fdf,1,PAYMENT,Low,4,0,idle,39.51519,0.0,39.51519
train,05089c32-86d3-566e-8442-8504f02a4fdf,2,PAYMENT,Low,5,0,normal,39.51519,0.0,39.51519
train,05089c32-86d3-566e-8442-8504f02a4fdf,0,PAYMENT,Medium,10,6,busy,33.547559,19.333884821791937,52.88144382179193
train,05089c32-86d3-566e-8442-8504f02a4fdf,1,PAYMENT,Medium,7,0,normal,33.547559,0.0,33.547559
train,05089c32-86d3-566e-8442-8504f02a4fdf,2,PAYMENT,Medium,10,16,surge,33.547559,57.950950044337546,91.49850904433754
train,052c87ae-edb7-509d-ad69-c6647c7988eb,0,DEBIT,High,10,7,busy,31.480106,22.565713766794932,54.045819766794935
train,052c87ae-edb7-509d-ad69-c6647c7988eb,1,DEBIT,High,10,0,busy,31.480106,9.706993283950938,41.187099283950936
train,052c87ae-edb7-509d-ad69-c6647c7988eb,2,DEBIT,High,10,4,busy,31.480106,16.38642892534878,47.86653492534878
train,052c87ae-edb7-509d-ad69-c6647c7988eb,0,DEBIT,Low,2,0,idle,51.042453,0.0,51.042453
train,052c87ae-edb7-509d-ad69-c6647c7988eb,1,DEBIT,Low,10,10,busy,51.042453,35.75670526900643,86.79915826900643
train,052c87ae-edb7-509d-ad69-c6647c7988eb,2,DEBIT,Low,10,1,busy,51.042453,27.97730583208528,79.01975883208527
train,052c87ae-edb7-509d-ad69-c6647c7988eb,0,DEBIT,Medium,10,16,surge,40.121395,55.72577702852921,95.8471720285292
train,052c87ae-edb7-509d-ad69-c6647c7988eb,1,DEBIT,Medium,3,0,idle,40.121395,0.0,40.121395
train,052c87ae-edb7-509d-ad69-c6647c7988eb,2,DEBIT,Medium,10,18,surge,40.121395,71.92599506753515,112.04739006753516
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,0,TRANSFER,High,0,0,idle,34.18875,0.0,34.18875
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,1,TRANSFER,High,7,0,normal,34.18875,0.0,34.18875
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,2,TRANSFER,High,2,0,idle,34.18875,0.0,34.18875
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,0,TRANSFER,Low,0,0,idle,57.113029,0.0,57.113029
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,1,TRANSFER,Low,10,2,busy,57.113029,16.90439676286299,74.01742576286298
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,2,TRANSFER,Low,7,0,normal,57.113029,0.0,57.113029
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,0,TRANSFER,Medium,5,0,normal,44.596166,0.0,44.596166
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,1,TRANSFER,Medium,3,0,idle,44.596166,0.0,44.596166
train,0531499a-3c32-5e9e-a341-4315f9e6ccf4,2,TRANSFER,Medium,6,0,normal,44.596166,0.0,44.596166
train,056650cb-a96b-5432-815e-2fcc7faddedd,0,DEBIT,High,9,0,normal,31.488615,0.0,31.488615
train,056650cb-a96b-5432-815e-2fcc7faddedd,1,DEBIT,High,4,0,idle,31.488615,0.0,31.488615
train,056650cb-a96b-5432-815e-2fcc7faddedd,2,DEBIT,High,2,0,idle,31.488615,0.0,31.488615
train,056650cb-a96b-5432-815e-2fcc7faddedd,0,DEBIT,Low,5,0,normal,51.421558,0.0,51.421558
train,056650cb-a96b-5432-815e-2fcc7faddedd,1,DEBIT,Low,8,0,normal,51.421558,0.0,51.421558
train,056650cb-a96b-5432-815e-2fcc7faddedd,2,DEBIT,Low,10,0,busy,51.421558,3.2390503962341213,54.66060839623412
train,056650cb-a96b-5432-815e-2fcc7faddedd,0,DEBIT,Medium,6,0,normal,40.377996,0.0,40.377996
train,056650cb-a96b-5432-815e-2fcc7faddedd,1,DEBIT,Medium,7,0,normal,40.377996,0.0,40.377996
train,056650cb-a96b-5432-815e-2fcc7faddedd,2,DEBIT,Medium,10,3,busy,40.377996,13.807797966626918,54.18579396662692
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,0,TRANSFER,High,10,5,busy,34.075977,13.884546184653136,47.96052318465314
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,1,TRANSFER,High,10,13,surge,34.075977,40.21084072080479,74.28681772080479
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,2,TRANSFER,High,7,0,normal,34.075977,0.0,34.075977
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,0,TRANSFER,Low,10,26,surge,57.117874,122.09902678664392,179.21690078664392
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,1,TRANSFER,Low,8,0,normal,57.117874,0.0,57.117874
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,2,TRANSFER,Low,10,6,busy,57.117874,40.49058721365092,97.60846121365091
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,0,TRANSFER,Medium,6,0,normal,44.450174,0.0,44.450174
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,1,TRANSFER,Medium,0,0,idle,44.450174,0.0,44.450174
train,060ffd69-8ab6-5349-a202-db2e986ce3b8,2,TRANSFER,Medium,4,0,idle,44.450174,0.0,44.450174
train,070e8076-9505-57fa-9781-f3f170b49d1c,0,TRANSFER,High,9,0,normal,36.986262,0.0,36.986262
train,070e8076-9505-57fa-9781-f3f170b49d1c,1,TRANSFER,High,10,7,busy,36.986262,27.59541658920593,64.58167858920594
train,070e8076-9505-57fa-9781-f3f170b49d1c,2,TRANSFER,High,10,0,busy,36.986262,2.20734011500769,39.19360211500769
train,070e8076-9505-57fa-9781-f3f170b49d1c,0,TRANSFER,Low,4,0,idle,58.010082,0.0,58.010082
train,070e8076-9505-57fa-9781-f3f170b49d1c,1,TRANSFER,Low,10,10,busy,58.010082,44.54479195307198,102.55487395307198
train,070e8076-9505-57fa-9781-f3f170b49d1c,2,TRANSFER,Low,9,0,normal,58.010082,0.0,58.010082
train,070e8076-9505-57fa-9781-f3f170b49d1c,0,TRANSFER,Medium,10,10,busy,43.985017,41.07865028113383,85.06366728113383
train,070e8076-9505-57fa-9781-f3f170b49d1c,1,TRANSFER,Medium,7,0,normal,43.985017,0.0,43.985017
train,070e8076-9505-57fa-9781-f3f170b49d1c,2,TRANSFER,Medium,5,0,normal,43.985017,0.0,43.985017
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,0,TRANSFER,High,10,6,busy,34.133379,14.162599066021075,48.29597806602107
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,1,TRANSFER,High,9,0,normal,34.133379,0.0,34.133379
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,2,TRANSFER,High,10,0,busy,34.133379,4.012045206365811,38.14542420636581
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,0,TRANSFER,Low,8,0,normal,57.530325,0.0,57.530325
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,1,TRANSFER,Low,7,0,normal,57.530325,0.0,57.530325
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,2,TRANSFER,Low,1,0,idle,57.530325,0.0,57.530325
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,0,TRANSFER,Medium,7,0,normal,43.769847,0.0,43.769847
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,1,TRANSFER,Medium,10,11,surge,43.769847,40.063872496975854,83.83371949697585
train,077472d9-90f6-5173-aaeb-5fa51f9684f5,2,TRANSFER,Medium,10,0,busy,43.769847,5.371076247330345,49.14092324733034
train,07960d88-70bc-5a15-bc6d-8b89673096e9,0,CASH_OUT,High,10,19,surge,28.038303,51.854152801995326,79.89245580199533
train,07960d88-70bc-5a15-bc6d-8b89673096e9,1,CASH_OUT,High,10,8,busy,28.038303,23.05299645216317,51.09129945216317
train,07960d88-70bc-5a15-bc6d-8b89673096e9,2,CASH_OUT,High,8,0,normal,28.038303,0.0,28.038303
train,07960d88-70bc-5a15-bc6d-8b89673096e9,0,CASH_OUT,Low,6,0,normal,48.015214,0.0,48.015214
train,07960d88-70bc-5a15-bc6d-8b89673096e9,1,CASH_OUT,Low,10,8,busy,48.015214,44.217715831603165,92.23292983160317
train,07960d88-70bc-5a15-bc6d-8b89673096e9,2,CASH_OUT,Low,0,0,idle,48.015214,0.0,48.015214
train,07960d88-70bc-5a15-bc6d-8b89673096e9,0,CASH_OUT,Medium,6,0,normal,36.260674,0.0,36.260674
train,07960d88-70bc-5a15-bc6d-8b89673096e9,1,CASH_OUT,Medium,1,0,idle,36.260674,0.0,36.260674
train,07960d88-70bc-5a15-bc6d-8b89673096e9,2,CASH_OUT,Medium,8,0,normal,36.260674,0.0,36.260674
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,0,CASH_OUT,High,5,0,normal,29.875414,0.0,29.875414
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,1,CASH_OUT,High,10,2,busy,29.875414,8.091327713468065,37.96674171346807
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,2,CASH_OUT,High,10,2,busy,29.875414,14.248927883298325,44.12434188329833
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,0,CASH_OUT,Low,10,9,busy,44.096905,43.28899589599599,87.38590089599599
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,1,CASH_OUT,Low,2,0,idle,44.096905,0.0,44.096905
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,2,CASH_OUT,Low,5,0,normal,44.096905,0.0,44.096905
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,0,CASH_OUT,Medium,10,4,busy,35.731551,16.788877292900267,52.52042829290027
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,1,CASH_OUT,Medium,4,0,idle,35.731551,0.0,35.731551
train,07b89b9e-50a4-5022-8e6d-b89b3f761a1c,2,CASH_OUT,Medium,7,0,normal,35.731551,0.0,35.731551
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,0,DEBIT,High,9,0,normal,31.983782,0.0,31.983782
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,1,DEBIT,High,7,0,normal,31.983782,0.0,31.983782
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,2,DEBIT,High,10,4,busy,31.983782,12.831831310898105,44.81561331089811
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,0,DEBIT,Low,7,0,normal,52.912644,0.0,52.912644
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,1,DEBIT,Low,10,14,surge,52.912644,78.2754387149583,131.18808271495828
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,2,DEBIT,Low,0,0,idle,52.912644,0.0,52.912644
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,0,DEBIT,Medium,6,0,normal,40.30579,0.0,40.30579
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,1,DEBIT,Medium,10,21,surge,40.30579,72.14964755769441,112.45543755769441
train,082079e6-26f0-5c4a-88c0-058ade7de1c8,2,DEBIT,Medium,10,3,busy,40.30579,11.26616562270439,51.571955622704394
train,08d70150-f884-57a0-933c-1f31c5bcee5f,0,CASH_OUT,High,10,3,busy,27.420095,10.846041073934208,38.266136073934206
train,08d70150-f884-57a0-933c-1f31c5bcee5f,1,CASH_OUT,High,10,5,busy,27.420095,16.08871355718663,43.508808557186626
train,08d70150-f884-57a0-933c-1f31c5bcee5f,2,CASH_OUT,High,5,0,normal,27.420095,0.0,27.420095
train,08d70150-f884-57a0-933c-1f31c5bcee5f,0,CASH_OUT,Low,8,0,normal,46.868344,0.0,46.868344
train,08d70150-f884-57a0-933c-1f31c5bcee5f,1,CASH_OUT,Low,10,8,busy,46.868344,38.6461754091748,85.5145194091748
train,08d70150-f884-57a0-933c-1f31c5bcee5f,2,CASH_OUT,Low,7,0,normal,46.868344,0.0,46.868344
train,08d70150-f884-57a0-933c-1f31c5bcee5f,0,CASH_OUT,Medium,2,0,idle,38.250091,0.0,38.250091
train,08d70150-f884-57a0-933c-1f31c5bcee5f,1,CASH_OUT,Medium,10,1,busy,38.250091,4.1119105240849,42.362001524084896
