cluster,query,rank,openalex_id,doi,title,year,venue,type,cited_by,oa_status,oa_url,abstract
C1_container_perf,docker container performance isolation measurement,2,W4407241474,10.1145/3712197,WebAssembly for Container Runtime: Are We There Yet?,2025,ACM Transactions on Software Engineering and Methodology,article,4,closed,,"To pursue more efficient software deployment with containers, WebAssembly (abbreviated as Wasm) has long been regarded as a promising alternative to native container runtime (such as Docker container) due to its features of secure memory sandbox, lightweight isolation, portability, and multi-language support. However, it remains unknown whether and how much Wasm indeed brings benefits for containerized software applications. To fill the knowledge gap, this paper presents the first measurement study on Wasm-based container runtime (i.e., Wasm container) by comparison with the Docker container and native standalone Wasm runtime for execution performance in terms of the startup, computation, system interface access, and resource consumption. Surprisingly, we find that the Wasm container does not achieve better performance versus the Docker container as expected and introduces significant overhead compared to the standalone Wasm runtime. Through comparison, we identify the main causes of performance degradation for Wasm containers. Some stem from the heavy containerization overhead similar to Docker containers, while others are inherently caused by Wasm VMs and the WASI interface. Our findings can help software developers, Wasm container developers and the Wasm community improve the efficiency of utilizing Wasm-based container runtime, ultimately optimizing software performance."
C1_container_perf,cgroup CPU bandwidth container,3,W3105331370,10.1007/978-3-030-63171-0_3,Improving Resource Isolation of Critical Tasks in a Workload,2020,Lecture notes in computer science,conference-paper,8,closed,,
C1_container_perf,performance interference co-located containers,3,W2977478057,10.1109/hpcc/smartcity/dss.2019.00316,Co-Locating Online Workload and Offline Workload in the Cloud: An Interference Analysis,2019,,conference-paper,13,closed,,"Workload characterization plays an important role in resource allocation and performance optimization. In order to improve the resource utilization, cloud providers like Google and Alibaba usually co-locate online and offline jobs on the same cluster. However, the characteristics of co-located services running in containers is still not clear. In this paper, we explore various characteristics of micro-architecture and application level of co-located workloads running in containers on the same server via two popular monitor tools: Perf and Prometheus. Our study focuses on quantifying interference of workloads by analyzing the characteristics of workloads running alone and co-located. Based on the interference analysis, we can design more efficient container deployment or scheduling algorithms in the future."
C1_container_perf,cloud performance variability reproducible benchmarking,3,W2900418469,10.21427/d73n6z,Elasticity Measurement in CaaS Environments - Extending the Existing BUNGEE Elasticity Benchmark to AWS's Elastic Container Service,2018,Arrow - TU Dublin (Technological University Dublin),dissertation,0,green,https://arrow.dit.ie/scschcomdis/126,"Rapid elasticity and automatic scaling are core concepts of most current cloud computing systems. Elasticity describes how well and how fast cloud systems adapt to increases and decreases in workload. In parallel, software architectures are moving towards employing containerised microservices running on systems managed by container orchestration platforms. Cloud users who employ such container-based systems may want to compare the elasticity of different systems or system settings to ensure rapid elasticity and maintain service level objectives while avoiding over-provisioning. Previous research has established a variety of metrics to measure elasticity. Some existing benchmark tools are designed to measure elasticity in “Infrastructure as a Service” (IaaS) systems, but no research exists to date for measuring elasticity in systems based on containers and container orchestration. In this dissertation, an existing benchmark designed for IaaS systems, the BUNGEE benchmark developed at the University of Würzburg, was extended to be applicable to Amazon’s Elastic Container Service, a container-based cloud system. An experiment was conducted to test if the extension of the BUNGEE benchmark described in this dissertation delivers reproducible results and is therefore valid. For validation, the crucial phase of the benchmark - the system analysis phase - was run 32 times. It was established with statistical tests if the results vary by more than the acceptable level. Results indicat"
C1_container_perf,docker container performance isolation measurement,3,W4414109574,10.1145/3744969.3748438,Characterizing Container Performance in Edge Computing,2025,,conference-paper,2,gold,https://dl.acm.org/doi/pdf/10.1145/3744969.3748438,"Edge computing reduces latency and network congestion by offloading computation from the cloud to edge devices. However, deploying software across heterogeneous edge platforms presents portability and dependency challenges. Containerization with Docker offers lightweight isolation but introduces overheads on resource-constrained devices. In this work, we empirically evaluate Docker performance on Raspberry Pi nodes using microbenchmarks (CPU, memory, network) and macrobenchmarks including AI workloads with sensor/camera interaction, compression, and encryption tasks. Our measurements highlight key limitations: insecure sensor access, spin-up delays for short tasks, and isolation-performance tradeoffs. These insights inform container use for stable, long-running edge workloads and guide future tuning for real-time, resource-constrained environments."
C1_container_perf,cgroup CPU bandwidth container,4,W4289887013,10.1002/cpe.7196,Niyama: Node scheduling for cloud workloads with resource isolation,2022,Concurrency and Computation Practice and Experience,article,1,closed,,"Summary Cloud providers place tasks from multiple applications on the same resource pool to improve the resource utilization of the infrastructure. The consequent resource contention has an undesirable effect on latency‐sensitive tasks. In this article, we present Niyama—a resource isolation approach that uses a modified version of deadline scheduling to protect latency‐sensitive tasks from CPU bandwidth contention. Conventionally, deadline scheduling has been used to schedule real‐time tasks with well‐defined deadlines. Therefore, it cannot be used directly when the deadlines are unspecified. In Niyama, we estimate deadlines in intervals and secure bandwidth required for the interval, thereby ensuring optimal job response times. We compare our approach with cgroups: Linux's default resource isolation mechanism used in containers today. Our experiments show that Niyama reduces the average delay in tasks by 3–20 when compared to cgroups. Since Linux's deadline scheduling policy is work‐conserving in nature, there is a small drop in the server‐level CPU utilization when Niyama is used naively. We demonstrate how the use of core reservation and oversubscription in the inter‐node scheduler can be used to offset this drop; our experiments show a 1.3–2.24 decrease in delay in job response time over cgroups while achieving high CPU utilization."
C1_container_perf,performance interference co-located containers,4,W3023801029,10.1145/3341105.3374034,Feasibility of container orchestration for adaptive performance isolation in multi-tenant SaaS applications,2020,,conference-paper,9,green,https://lirias.kuleuven.be/retrieve/4480e7dd-1e77-4dbc-ab3c-596d17bd42d0,"SaaS application instances typically serve multiple tenants to improve cost-efficiency. This results in the need for adaptive performance isolation between tenants in order to guarantee custom service level objectives (SLOs) about request latency or throughput. Current solutions, which are based on request scheduling algorithms, suffer from SLO instability under globally varying workloads. This means that the configuration for an SLO has to be recalibrated when total workload patterns change such as an increase or decrease in the number of subscribed tenants, or the application becomes co-located with other types of resource-intensive applications. Lately container technology such as Docker and container orchestration frameworks like Kubernetes have been used to increase cost-efficiency, multi-tenancy and elasticity. This paper investigates if the problem of adaptive performance isolation can be mapped to resource management concepts of Kubernetes through a series of experiments. These experiments show that Kubernetes provides good support for QoS differentiation and adaptive resource allocation by grouping tenants according to their SLO class (e.g gold vs bronze) in different containers. Moreover, SLO instability does not occur when co-locating these containers with other container-based applications provided that a few interferences between CPU-, memory- and disk-io intensive applications are taken into account. However SLO instability does occur when the number of subscrib"
C1_container_perf,cloud performance variability reproducible benchmarking,4,W7165026699,10.48550/arxiv.2606.17241,Beyond Benchmarks: Continuous Edge Inference for Fine-Grained Roadside Perception,2026,arXiv (Cornell University),preprint,0,green,https://doi.org/10.48550/arxiv.2606.17241,"Continuous AI inference on resource-constrained edge hardware introduces deployment effects that are largely invisible to conventional benchmark evaluation, including temporal instability in streaming video, thermal throttling under sustained load, and workload-dependent performance variability. We present Edge-TSR, a deployment-oriented continuous edge inference system for sustained roadside perception on the NVIDIA Jetson Orin Nano. Edge-TSR integrates detection, tracking, fine-grained classification, and a lightweight track-aware temporal stabilization mechanism that improves streaming inference consistency with negligible computational overhead. Our central finding is that benchmark-centric evaluation systematically overstates deployed edge inference performance. Across three state-of-the-art baselines, we observe consistent 20-30% relative degradation when transitioning from static-image evaluation to real-world streaming deployment. Edge-TSR addresses this gap through temporal inference stabilization, recovering up to 10.16% classification accuracy over per-frame inference baselines while maintaining sustained real-time performance under continuous operation. We evaluate the complete system under diverse real-world deployment conditions, jointly characterizing inference quality, latency, throughput, and thermal behavior during long-duration operation. A 55-minute vehicular deployment over a 26 km route demonstrates sustained operation at 16.18 FPS within safe thermal li"
C1_container_perf,docker container performance isolation measurement,4,W4416094985,10.48550/arxiv.2505.02082,Performance Characterization of Containers in Edge Computing,2025,arXiv (Cornell University),preprint,0,green,https://arxiv.org/pdf/2505.02082,"Edge computing addresses critical limitations of cloud computing such as high latency and network congestion by decentralizing processing from cloud to the edge. However, the need for software replication across heterogeneous edge devices introduces dependency and portability challenges, driving the adoption of containerization technologies like Docker. While containers offer lightweight isolation and deployment advantages, they introduce new bottlenecks in edge environments, including cold-start delays, memory constraints, network throughput variability, and inefficient IO handling when interfacing with embedded peripherals. This paper presents an empirical evaluation of Docker containers on resource-constrained edge devices, using Raspberry Pi as a representative platform. We benchmark performance across diverse workloads, including microbenchmarks (CPU, memory, network profiling) and macrobenchmarks (AI inference, sensor IO operations), to quantify the overheads of containerization in real-world edge scenarios. Our testbed comprises physical Raspberry Pi nodes integrated with environmental sensors and camera modules, enabling measurements of latency, memory faults, IO throughput, and cold start delays under varying loads. Key findings reveal trade-offs between container isolation and edge-specific resource limitations, with performance degradation observed in IO heavy and latency sensitive tasks. We identify configuration optimizations to mitigate these issues, providing a"
C1_container_perf,cgroup CPU bandwidth container,5,W4416429763,10.1109/iiswc66894.2025.00037,Does Linux Provide Performance Isolation for NVMe SSDs? Configuring cgroups for I/O Control in the NVMe Era,2025,,conference-paper,0,green,https://research.vu.nl/en/publications/e2c27584-ebbf-4ccc-b97a-3f50572aa5f4,"Modern storage workloads commonly run in containers within data centers, such as machine learning, databases, caches, HPC, and serverless workloads. To facilitate the storage performance requirements (e.g., bandwidth, latency) of these workloads, data centers have adopted fast NVMe SSDs as a storage medium. At the same time, data centers virtualize and share these storage resources with multiple tenants to improve resource utilization and reduce costs. Such sharing leads to an inherent trade-off between tenant performance isolation and SSD utilization. Although various research studies demonstrate how to achieve various performance isolation properties, such as fairness, there is neither a unified definition for performance isolation nor a benchmark. Furthermore, the isolation capabilities of state-of-the-practice I/O control mechanisms in the Linux kernel are not well understood. In this paper, we address these three challenges. First, we survey the definition of performance isolation and uncover four common performance isolation desiderata. Second, we introduceisol-bench, a benchmark for evaluating these desiderata for I/O control mechanisms. Third, we use isol-bench to evaluate I/O isolation for Linux’s state-of-the-practice I/O control mechanism, cgroups. From our evaluation, we are able to conclude that out of cgroups’s knobs io.cost achieves the most isolation desiderata, but has a latency overhead past CPU saturation. We open-source the source code of isol-bench at htt"
C1_container_perf,performance interference co-located containers,5,W3108571358,10.1007/s10586-020-03210-2,Contention-aware container placement strategy for docker swarm with machine learning based clustering algorithms,2020,Cluster Computing,article,15,closed,,
C1_container_perf,docker container performance isolation measurement,5,W7127209502,,GRP-0217 Comparative Analysis of OS-level Security Vulnerabilities and Isolation Mechanisms in Hypervisors and Containers,2025,DigitalCommons - Kennesaw State University (Kennesaw State University),article,0,closed,,"This project investigates the operating-system-level performance and isolation mechanism of Virtual Machines and Docker container. The experiment includes CPU/memory microbenchmarks, disk throughput tests, web-server latency measurements, multi-process scheduling stress and controlled security checks. We aim to quantify each benchmark under identical conditions. The study findings reveal that Docker consistently provides lower overhead and faster I/O due to its shared-kernel architecture, while VirtualBox maintains stronger isolation but introduces more scheduling and disk latency. The findings provide practical insights for the OS system designers to find better execution environments for security critical and performance-sensitive workloads."
C1_container_perf,cgroup CPU bandwidth container,6,W7165533540,10.1016/j.sysarc.2026.103904,MCKube: a holistic mixed-criticality orchestration system in Kubernetes,2026,Journal of Systems Architecture,article,0,closed,,
C1_container_perf,performance interference co-located containers,6,W4296642740,10.1145/3563696,Quantifying Resource Contention of Co-located Workloads with the System-level Entropy,2022,ACM Transactions on Architecture and Code Optimization,article,8,diamond,https://dl.acm.org/doi/pdf/10.1145/3563696,"The workload co-location, such as deploying offline analysis workloads with online service workloads on the same node, has become common for modern data centers. Workload co-location deployment improves data center resource utilization significantly. Still, it also introduces resource contention, resulting in the online service’s quality of service fluctuation, which we call performance interference. As the online service is a tail-latency-sensitive workload, the tail-latency metric can reflect the performance interference degree of the co-location workloads at the application level. However, to guide system design and evaluation, quantitatively evaluating the resource contention of the co-located workloads at the system level is also essential. This article proposes a novel metric called System-Level Entropy (SLE). As a system-level metric, SLE can measure quantitatively resource contention of the co-location systems and perform the apples-to-apples comparison between systems. The experimental results show that SLE can accurately reflect the performance interference of workloads and then evaluate the system resource contention. We also demonstrate two case studies of the SLE. We quantify the affinity of different co-location combinations, including three online services and five offline workloads. Furthermore, we evaluate the effects of state-of-the-art isolated mechanisms (the container and the CPU–affinity binding) with these co-location combinations."
C1_container_perf,cloud performance variability reproducible benchmarking,6,W7207990862,,Performance Analysis of CI/CD Pipelines for Terraform-based Docker Deployments,2025,NORMA,dissertation,0,closed,,"Cloud-native software is heavily dependent on Continuous Integration and Continuous Delivery (CI/CD) pipelines to facilitate the process of automated, scalable and efficient deployment of applications. Nevertheless, the organizations lack empirical advice regarding the CI/CD platform is most effective with the Infrastructure-as-Code and containerised workloads, especially when implemented using Terraform in cloud providers. This gap is addressed in this report by comparing three popular CI/CD tools – GitHub Actions, Jenkins and AWS CodePipeline, performing the running of Dockerized Django applications Dockerized using Terraform on AWS. In order to maintain a consistent evaluation, a bespoke Metrics API and real-time Dashboard was developed to assemble five new cloud-specific performance measurements, namely: Layer Cache Efficiency (LCE), Pipeline Recovery Time (PRT), Secrets Management Overhead (SMO), Dynamic Environment Time (DEPT), and Container Layer Build Consistency (CLBC). The results demonstrate that GitHub Actions is the most ideal cloud-native and has excellent caching performance, stable image building, and expeditious recovery performance. Jenkins had poor caching and environmental variability with self-hosted runners as well as being highly configurable. The AWS CodePipeline was highly reproducible, lacks have high provisioning overhead as it is a multi-layered, orchestrated deployment. These results validate the existence of large differences in cloud- native CI/"
C1_container_perf,docker container performance isolation measurement,6,W4416020005,10.48550/arxiv.2511.03533,Investigating the Impact of Isolation on Synchronized Benchmarks,2025,arXiv (Cornell University),preprint,0,green,https://arxiv.org/pdf/2511.03533,"Benchmarking in cloud environments suffers from performance variability from multi-tenant resource contention. Duet benchmarking mitigates this by running two workload versions concurrently on the same VM, exposing them to identical external interference. However, intra-VM contention between synchronized workloads necessitates additional isolation mechanisms. This work evaluates three such strategies: cgroups and CPU pinning, Docker containers, and Firecracker MicroVMs. We compare all strategies with an unisolated baseline experiment, by running benchmarks with a duet setup alongside a noise generator. This noise generator ""steals"" compute resources to degrade performance measurements. All experiments showed different latency distributions while under the effects of noise generation, but results show that process isolation generally lowered false positives, except for our experiments with Docker containers. Even though Docker containers rely internally on cgroups and CPU pinning, they were more susceptible to performance degradation due to noise influence. Therefore, we recommend to use process isolation for synchronized workloads, with the exception of Docker containers."
C1_container_perf,performance interference co-located containers,7,W2785472805,10.1109/hpcc-smartcity-dss.2017.68,Sherlock: Lightweight Detection of Performance Interference in Containerized Cloud Services,2017,,conference-paper,5,closed,,"Cloud instances are usually virtual machines hosted on shared hardware. Containers are often used to deploy services in cloud instances. However, excessive consumption of shared hardware resources by some VMs may lead to unpredictability in the performance of containers running in co-located VMs. Existing techniques to detect performance interference in applications are either too expensive in terms of profiling or applicable only from the perspective of the infrastructure owner. In this paper, we propose Sherlock, a lightweight subscriber-centric mechanism to detect performance interference and estimate its impact on cloud services. Sherlock does not require access to hardware counters and can work on unmodified clouds without any support from the cloud provider or changes to the hypervisor. Sherlock uses a simple profiling technique which is performed only for a short duration before deployment. When interference from co-resident VMs is observed, Sherlock notifies the cloud subscriber, so that any remedial actions can be taken. We also define a metric IScore, which is an estimate of the impact of interference on a service. Experiments on the real-world web benchmark CloudSuite show that our approach is able to detect interference with accuracy ranging from 89% to 98.4%, and with very less false positives ( 8%)."
C1_container_perf,cloud performance variability reproducible benchmarking,7,W7126018247,10.3390/app16031389,Comparative Analysis of AutoML Platforms for Forecasting Raw Material Requirements,2026,Applied Sciences,article,0,gold,https://www.mdpi.com/2076-3417/16/3/1389/pdf,"Automated machine learning (AutoML) platforms are increasingly adopted in manufacturing to support data-driven decision-making. However, systematic and reproducible evaluations of their practical applicability remain limited. This study presents a controlled benchmarking framework for comparing three selected cloud-based AutoML platforms: Google Vertex AI, Microsoft Azure ML and IBM Watsonx, in the context of raw material demand forecasting for mold manufacturing. A synthetic dataset was generated to reflect essential operational characteristics of industrial production, including batch-based manufacturing, inventory-triggered replenishment and delivery lead times. While the underlying bill of materials logic is deterministic, the interaction of production variability and inventory dynamics introduces nonlinear and time-dependent behavior. All platforms were evaluated using identical data splits, chronological cross-validation and consistent performance metrics to ensure fair comparison and prevent information leakage. Results indicate moderate predictive performance, which is attributed to embedded operational complexity. Performance differences between platforms are marginal, highlighting that practical considerations such as feature handling, deployment readiness and computational effort may be more influential than raw accuracy. Although synthetic data limit external validity, the proposed framework provides a reproducible and transparent basis for applied evaluation of A"
C1_container_perf,performance interference co-located containers,8,W3128563249,10.1109/icoin50884.2021.9333977,On the Resource Management of Kubernetes,2021,,conference-paper,27,closed,,"Kubernetes is the most popular container orchestration platform that enables users to create and run multiple containers in cloud environments. Kubernetes offers resource management to isolate the resource usage of containers on a host server because performance isolation is an important factor in terms of service quality. This paper investigates whether the resource management of Kubernetes is sufficient to isolate the performance of containers. This is different from previous studies that mostly focuses on efficient resource management rather than the study on performance interference. We evaluate the performance interference 1) between CPU-intensive and networkintensive containers, and 2) between multiple network-intensive containers. Our evaluation results show that containers experience performance degradation by 50% due to the co-located containers even under the resource management of Kubernetes. This paper also points out that the root cause of the performance interference between multiple network-intensive containers is CPU contention, not network bandwidth. As a result, Kubernetes needs to consider the CPU usage of network-related workloads in resource management in order to mitigate the performance interference."
C1_container_perf,cloud performance variability reproducible benchmarking,8,W7162661439,10.1007/s00170-026-18369-y,Latency analysis in IoT data transmission for advanced manufacturing,2026,The International Journal of Advanced Manufacturing Technology,article,0,hybrid,https://link.springer.com/content/pdf/10.1007/s00170-026-18369-y.pdf,"Abstract The modernization of manufacturing in Industry 4.0 demands monitoring architectures that remain responsive as data rates scale. This work designs and evaluates an integrated IIoT vibration-monitoring stack, ADXL345 triaxial sensing, a Flask RESTful API, Directus cloud storage, and a React interface, focusing on end-to-end latency from acquisition to visualization. Data were sampled at 100 Hz and transmitted under controlled loads from 100 to 2,000 records s⁻¹. Latency metrics (min/mean/max) were recorded to assess scalability and stability. The system sustained rising throughput without saturation; however, latency increased proportionally with load, from a mean of 1.91 ms at 100 records s⁻¹ to 291.64 ms at 2,000 records s⁻¹. Variability widened at higher loads, consistent with queue-based processing effects. Statistical analysis revealed a mean latency of 142.12 ms with a standard deviation of 59.92 ms, indicating moderate variability while preserving operational stability throughout the evaluated load conditions. The experimental results contribute to the understanding of scalability–latency trade-offs in IIoT systems and provide a reproducible benchmark for predictive maintenance applications in Industry 4.0 environments. We discuss mitigation strategies, edge/fog preprocessing, adaptive sampling, compression, and low-latency protocols, to preserve responsiveness in latency-sensitive deployments. The study offers a reproducible reference for aligning architectural"
