score,signals,origin,openalex_id,doi,title,year,venue,cited_by,oa_status,oa_url,abstract
8,cost model;performance prediction,keyword,W1899447984,10.5075/epfl-thesis-6629,Runtime Prediction for Scale-Out Data Analytics,2015,Infoscience (Ecole Polytechnique Fédérale de Lausanne),5,green,https://infoscience.epfl.ch/record/209127/files/EPFL_TH6629.pdf,"Many analytics applications generate mixed workloads, i.e., workloads comprised of analytical tasks with different processing characteristics including data pre-processing, SQL, and iterative machine learning algorithms. Examples of such mixed workloads can be found in web data analysis, social media analysis, and graph analytics, where they are executed repetitively on large input datasets (e.g., ""Find the average user time spent on the top 10 most popular web pages on the UK domain web graph.""). Scale-out processing engines satisfy the needs of these applications by distributing the data and the processing task efficiently among multiple workers that are first reserved and then used to execute the task in parallel on a cluster of machines. Finding the resource allocation that can complete the workload execution within a given time constraint, and optimizing cluster resource allocations among multiple analytical workloads motivates the need for estimating the runtime of the workload before its actual execution. Predicting runtime of analytical workloads is a challenging problem as runtime depends on a large number of factors that are hard to model a priori execution. These factors can be summarized as workload characteristics (i.e., data statistics and processing costs), the execution configuration (i.e., deployment, resource allocation, and software settings), and the cost model that captures the interplay among all of the above parameters. While conventional cost models pr"
8,benchmark (design;reproducib;container,keyword,W2900418469,10.21427/d73n6z,Elasticity Measurement in CaaS Environments - Extending the Existing BUNGEE Elasticity Benchmark to AWS's Elastic Container Service,2018,Arrow - TU Dublin (Technological University Dublin),0,green,https://arrow.dit.ie/scschcomdis/126,"Rapid elasticity and automatic scaling are core concepts of most current cloud computing systems. Elasticity describes how well and how fast cloud systems adapt to increases and decreases in workload. In parallel, software architectures are moving towards employing containerised microservices running on systems managed by container orchestration platforms. Cloud users who employ such container-based systems may want to compare the elasticity of different systems or system settings to ensure rapid elasticity and maintain service level objectives while avoiding over-provisioning. Previous research has established a variety of metrics to measure elasticity. Some existing benchmark tools are designed to measure elasticity in “Infrastructure as a Service” (IaaS) systems, but no research exists to date for measuring elasticity in systems based on containers and container orchestration. In this dissertation, an existing benchmark designed for IaaS systems, the BUNGEE benchmark developed at the University of Würzburg, was extended to be applicable to Amazon’s Elastic Container Service, a container-based cloud system. An experiment was conducted to test if the extension of the BUNGEE benchmark described in this dissertation delivers reproducible results and is therefore valid. For validation, the crucial phase of the benchmark - the system analysis phase - was run 32 times. It was established with statistical tests if the results vary by more than the acceptable level. Results indicat"
7,cost model;interference,snowball,W2035095545,10.1145/183018.183025,Accurate modeling of the hybrid hash join algorithm,1994,,30,closed,,": The join of two relations is an important operation in database systems. It occurs frequently in relational queries, and join performance is a significant factor in overall system performance. Cost models for join algorithms are used by query optimizers to choose efficient query execution strategies. This paper presents an efficient analytical model of an important join method, the hybrid hash join algorithm, that captures several key features of the algorithm's performance -- including its intra--operator parallelism, interference between disk reads and writes, caching of disk pages, and placement of data on disk(s). Validation of the model against a detailed simulation of a database system shows that the response time estimates produced by the model are quite accurate. 1 Introduction Relational database systems organize information into a collection of tables. The relational join operator is used to relate information from two or more tables. Thus, joins are a frequently occurrin..."
7,predict(ing;performance prediction,keyword,W3206048199,10.1371/journal.pone.0258439,A new framework based on features modeling and ensemble learning to predict query performance,2021,PLoS ONE,5,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0258439&type=printable,"A query optimizer attempts to predict a performance metric based on the amount of time elapsed. Theoretically, this would necessitate the creation of a significant overhead on the core engine to provide the necessary query optimizing statistics. Machine learning is increasingly being used to improve query performance by incorporating regression models. To predict the response time for a query, most query performance approaches rely on DBMS optimizing statistics and the cost estimation of each operator in the query execution plan, which also focuses on resource utilization (CPU, I/O). Modeling query features is thus a critical step in developing a robust query performance prediction model. In this paper, we propose a new framework based on query feature modeling and ensemble learning to predict query performance and use this framework as a query performance predictor simulator to optimize the query features that influence query performance. In query feature modeling, we propose five dimensions used to model query features. The query features dimensions are syntax, hardware, software, data architecture, and historical performance logs. These features will be based on developing training datasets for the performance prediction model that employs the ensemble learning model. As a result, ensemble learning leverages the query performance prediction problem to deal with missing values. Handling overfitting via regularization. The section on experimental work will go over how to use"
7,predict(ing;performance prediction,keyword,W2761311378,10.1109/cscwd.2017.8066716,A collaborative filtering based approach to performance prediction for parallel applications,2017,,2,closed,,"Parallel application jobs account for a large population in current domain of cloud computing and Big Data processing services, whose execution time can be varied greatly with different runtime configurations. For efficiently scheduling resources and services to run parallel jobs, the ability to quickly and accurately estimate the performance of parallel applications is critical. Analytic predictive models based on traditional modeling techniques such as queuing systems are difficult to construct for parallel applications, due to the high complexity lying in the structures of parallel application models. Furthermore, due to the heterogeneity of resources computing capacities with a scalable computing environment such as a cloud computing platform, performance analytic and prediction becomes increasingly difficult for parallel applications. To address this problem, in this paper we propose a collaborative filtering based approach to quickly and accurately predict the execution time of parallel applications running in heterogenous resources. Particularly, we use the widely used Apache Spark platform as the running framework for parallel applications, and propose a bounds-based performance model to improve the prediction accuracy. Through extensive simulations and experiments on real Spark clusters and two large-scale machine learning applications as well as the simple but classic WordCount sample application, we show that the proposed Collaborative Filtering based approach and "
7,performance prediction;container;interference,snowball,W4385809270,10.21203/rs.3.rs-3243462/v1,Performance interference of co-allocated applications: a systematic literature review,2023,Research Square,2,green,https://www.researchsquare.com/article/rs-3243462/latest.pdf,"Abstract Several efforts have been made to study the nature of performance interference in co-allocated applications running in different environments. Such performance interference degrades the performance of co-allocated applications. Many researchers propose techniques, methods and approaches that use mathematical equations, machine learning algorithms or other kind of techniques to predict/analyze performance degradation. Hardware counters, virtual machine monitor metrics and third-party tools are commonly used to provide the input data for prediction techniques. Performance prediction/analysis is useful for understanding, preventing, and minimizing performance degradation. This paper presents a systematic literature review of methods for the prediction/analysis of performance degradation due to performance interference of co-allocated applications, which were published in the open literature during the period 2006-2023. We classified and categorized each analyzed article depending on the method used and the environment employed, among others features. In addition, we identify some directions and trends in performance interference, as well as some unresolved issues."
7,cgroup;container;interference,keyword,W4413360410,10.1109/cloud67622.2025.00039,Real-Time Interference-Aware CPU and I/O Capping Mechanism for Multi-Tenant Containers,2025,,0,closed,,"Performance interference in multi-tenant container-ized environments-such as those utilizing Linux Containers (LX C)-poses a critical challenge to maintaining Quality of Service (QoS) and adhering to Service Level Agreements (SLAs), especially under conditions of high resource contention. Con-ventional static resource allocation strategies often fail to adapt to dynamic workload behaviors and lack cross-resource coor-dination, leading to inefficiencies and degraded performance. While machine learning-based approaches, such as Long Short-Term Memory (LSTM) predictors, have demonstrated improved forecasting capabilities, their computational complexity and training requirements introduce latency and overhead, rendering them impractical for real-time control in resource-constrained deployments. In this paper, we introduce a lightweight, real-time interference-aware resource management solution that integrates predictive modeling with fine-grained CPU and I/O capping mechanisms using Linux cgroup subsystems. Our solution lever-ages continuous profiling of key performance metrics, including QoS violation frequency, CPU throttling rates, and I/O contention signals, to identify emerging interference patterns across co-located containers. The solution dynamically adjusts resource quotas and scheduling parameters in response to runtime observations, enabling adaptive capacity provisioning with minimal system overhead. We implement and evaluate our solution on a heterogeneous LXC-based "
7,cgroup;container;interference,keyword,W4416020005,10.48550/arxiv.2511.03533,Investigating the Impact of Isolation on Synchronized Benchmarks,2025,arXiv (Cornell University),0,green,https://arxiv.org/pdf/2511.03533,"Benchmarking in cloud environments suffers from performance variability from multi-tenant resource contention. Duet benchmarking mitigates this by running two workload versions concurrently on the same VM, exposing them to identical external interference. However, intra-VM contention between synchronized workloads necessitates additional isolation mechanisms. This work evaluates three such strategies: cgroups and CPU pinning, Docker containers, and Firecracker MicroVMs. We compare all strategies with an unisolated baseline experiment, by running benchmarks with a duet setup alongside a noise generator. This noise generator ""steals"" compute resources to degrade performance measurements. All experiments showed different latency distributions while under the effects of noise generation, but results show that process isolation generally lowered false positives, except for our experiments with Docker containers. Even though Docker containers rely internally on cgroups and CPU pinning, they were more susceptible to performance degradation due to noise influence. Therefore, we recommend to use process isolation for synchronized workloads, with the exception of Docker containers."
6,degenerate,keyword,W4391568820,10.1145/3644392,Enhancing Out-of-distribution Generalization on Graphs via Causal Attention Learning,2024,ACM Transactions on Knowledge Discovery from Data,31,closed,,"In graph classification, attention- and pooling-based graph neural networks (GNNs) predominate to extract salient features from the input graph and support the prediction. They mostly follow the paradigm of “learning to attend,” which maximizes the mutual information between the attended graph and the ground-truth label. However, this paradigm causes GNN classifiers to indiscriminately absorb all statistical correlations between input features and labels in the training data without distinguishing the causal and noncausal effects of features. Rather than emphasizing causal features, the attended graphs tend to rely on noncausal features as shortcuts to predictions. These shortcut features may easily change outside the training distribution, thereby leading to poor generalization for GNN classifiers. In this article, we take a causal view on GNN modeling. Under our causal assumption, the shortcut feature serves as a confounder between the causal feature and prediction. It misleads the classifier into learning spurious correlations that facilitate prediction in in-distribution (ID) test evaluation while causing significant performance drop in out-of-distribution (OOD) test data. To address this issue, we employ the backdoor adjustment from causal theory—combining each causal feature with various shortcut features, to identify causal patterns and mitigate the confounding effect. Specifically, we employ attention modules to estimate the causal and shortcut features of the input g"
6,degenerate,keyword,W3133211101,10.48550/arxiv.2102.12353,Nonlinear Invariant Risk Minimization: A Causal Approach,2021,arXiv (Cornell University),26,green,https://arxiv.org/pdf/2102.12353,"Due to spurious correlations, machine learning systems often fail to generalize to environments whose distributions differ from the ones used at training time. Prior work addressing this, either explicitly or implicitly, attempted to find a data representation that has an invariant relationship with the target. This is done by leveraging a diverse set of training environments to reduce the effect of spurious features and build an invariant predictor. However, these methods have generalization guarantees only when both data representation and classifiers come from a linear model class. We propose invariant Causal Representation Learning (iCaRL), an approach that enables out-of-distribution (OOD) generalization in the nonlinear setting (i.e., nonlinear representations and nonlinear classifiers). It builds upon a practical and general assumption: the prior over the data representation (i.e., a set of latent variables encoding the data) given the target and the environment belongs to general exponential family distributions. Based on this, we show that it is possible to identify the data representation up to simple transformations. We also prove that all direct causes of the target can be fully discovered, which further enables us to obtain generalization guarantees in the nonlinear setting. Extensive experiments on both synthetic and real-world datasets show that our approach outperforms a variety of baseline methods. Finally, in the discussion, we further explore the aforementi"
6,container;interference;load balanc,keyword,W2953864002,10.4230/lipics.ecrts.2019.22,Enabling Containerisation of Distributed Applications with Real-Time Constraints,2019,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),6,green,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ECRTS.2019.22,"Containerisation is becoming a cornerstone of modern distributed systems, thanks to their lightweight virtualisation, high portability, and seamless integration with orchestration tools such as Kubernetes. The usage of containers has also gained traction in real-time cyber-physical systems, such as software-defined vehicles, which are characterised by strict timing requirements to ensure safety and performance. Nevertheless, ensuring real-time execution of co-located containers is challenging because of mutual interference due to the sharing of the same processing hardware. Existing parallel computing frameworks such as Ray and its Kubernetes-enabled variant, KubeRay, excel in distributed computation but lack support for scheduling policies that allow guaranteeing real-time timing constraints and CPU resource isolation between containers, such as the SCHED_DEADLINE policy of Linux. To fill this gap, this paper extends Ray to support real-time containers that leverage SCHED_DEADLINE. To this end, we propose KubeDeadline, a novel, modular Kubernetes extension to support SCHED_DEADLINE. We evaluate our approach through extensive experiments, using synthetic workloads and a case study based on the MobileNet and EfficientNet deep neural networks. Our evaluation shows that KubeDeadline ensures deadline compliance in all synthetic workloads, adds minimal deployment overhead (in the order of milliseconds), and achieves lower worst-case response times, up to 4 times lower, than vanill"
6,container;interference;load balanc,keyword,W2883897563,10.1109/cloud.2018.00135,Virtual Network Functions as Real-Time Containers in Private Clouds,2018,,5,green,http://hdl.handle.net/11382/523470,"This paper presents preliminary results from our on-going research for ensuring stable performance of co-located distributed cloud services in a resource-efficient way. It is based on using a real-time CPU scheduling policy to achieve a fine-grain control of the temporal interferences among real-time services running in co-located containers. We present results obtained applying the method to a synthetic application running within LXC containers on Linux, where a modified kernel has been used that includes our real-time scheduling policy."
6,degenerate,keyword,W7147341098,10.1016/j.eswa.2026.132291,HC-CoT: A hierarchical causal chain-of-thought framework for multimodal sarcasm detection,2026,Expert Systems with Applications,1,hybrid,https://doi.org/10.1016/j.eswa.2026.132291,"Multimodal sarcasm detection relies on identifying semantic incongruity between visual and textual modalities. However, existing methods typically model incongruity through monolithic feature fusion or shallow interactions, neglecting the hierarchical structure of sarcasm, which manifests distinctively at entity, attribute, and scene levels. Consequently, these models often rely on spurious correlations rather than genuine causal dependencies, resulting in limited robustness against modality imbalance and distribution shifts. To address these challenges, we propose the Hierarchical Causal Chain-of-Thought (HC-CoT) framework, where Chain-of-Thought refers to a structured inference trace over the hierarchical latent variables of our H-SCM (rather than LLM-style natural-language rationales), a hierarchical causal reasoning framework that models sarcasm with a three-level Hierarchical Structural Causal Model (H-SCM) whose bottom-up causal structure (Entity → Attribute → Scene) is learned under explicit sparsity and acyclicity constraints. Over this SCM, HC-CoT performs bidirectional inference: bottom-up evidence aggregation forms scene hypotheses, while top-down contextual refinement re-evaluates lower-level states without introducing reverse causal edges. Training combines supervised learning with (i) missing-modality consistency regularization and (ii) counterfactual augmentation with explicit label policies, improving robustness without relying on heuristic shortcut cues. Exte"
6,trivial baseline,keyword,W3133531246,10.7155/jgaa.00603,A Machine Learning Approach for Predicting Human Preference for Graph Layouts,2022,Journal of Graph Algorithms and Applications,1,diamond,https://doi.org/10.7155/jgaa.00603,"Understanding what graph layout human prefer and why they prefer such graph layout is significant and challenging due to the highly complex visual perception and cognition system in the human brain. In this paper, we present the first machine learning approach for predicting human preference for graph layouts. Specifically, we propose a CNN-Siamese-based model to predict human preference from a pair of different layouts of the same graph. We employ a transfer learning method to overcome the insufficiency of the available ground truth human preference experiment data for training deep neural networks. Specifically, we exploit the quality metrics, which are correlated to human preference on graph layouts, to pre-train our model. Then, we fine-tune the model using the ground truth human preference experiment data. Experimental results using the ground truth human preference data sets show that our model M+HP can successfully predict human preference for graph layouts, achieving the average test accuracy of $92.28\%$ for large scale-free and mesh graphs. To our best knowledge, this is the first approach for predicting qualitative evaluation of graph layouts based on the ground truth human preference experiment data. Moreover, comparison experiments show that our model outperforms a simple baseline model and a previous Siamese-based model, demonstrating the importance of using graph layout images and the CNN-based model for predicting human preference."
6,degenerate,keyword,W7163595170,,Shortcut to Nowhere: Demystifying Deep Spurious Regression,2026,arXiv (Cornell University),0,green,https://arxiv.org/pdf/2606.01723,"Real-world regression often exhibits shortcuts: attributes that are spuriously correlated with continuous targets in training, yet unreliable under deployment shifts; regressing targets using such shortcuts may fail catastrophically at test time. Existing studies on spurious correlations focus primarily on classification, where labels are categorical and groups are naturally defined. However, many real-world tasks require continuous prediction, where hard label boundaries or discrete group-label pairs do not exist. We define Deep Spurious Regression (DSR) as learning from regression data with attribute-label confounding, addressing continuous spurious correlations, and generalizing to all attribute-label combinations at test time. Motivated by the intrinsic difference between classification and regression shortcuts, we propose to exploit the similarity among spurious attributes in both label and feature spaces, thereby accounting for nearby targets and related groups while calibrating both label and learned feature distributions across attributes. Extensive experiments on common real-world DSR datasets that span computer vision, environmental sensing, and large language model (LLM) regression verify the superior performance of our strategies. Our work fills the gap in benchmarks and techniques for studying spurious correlations in continuous prediction."
6,degenerate,keyword,W7161353859,,SpurAudio: A Benchmark for Studying Shortcut Learning in Few-Shot Audio Classification,2026,arXiv (Cornell University),0,green,https://arxiv.org/pdf/2605.13672,"Few-shot classification (FSC) is widely used for learning from limited labeled data, yet most evaluations implicitly assume that target concepts are independent of contextual cues. In real-world settings, however, examples often appear within rich contexts, allowing models to exploit spurious correlations between foreground content and background signals. While such effects have been studied in few-shot image classification, their role in few-shot audio classification remains largely unexplored, and existing audio benchmarks offer limited control over contextual structure. We introduce SpurAudio, a benchmark that leverages the natural separability of foreground events and background environments in audio to enable controlled, multi-level evaluation of contextual shifts across support and query sets. Using this benchmark, we show that many state-of-the-art few-shot methods suffer severe performance degradation when background correlations are disrupted, despite achieving similar accuracy under standard evaluation protocols. Crucially, this vulnerability persists even in large pretrained audio foundation models, ruling out limited backbone capacity as an explanation. Moreover, methods that appear comparable under conventional benchmarks can exhibit markedly different sensitivity to spurious correlations, revealing systematic algorithmic strengths and vulnerabilities tied to how feature representations interact with classifier heads at inference time. These findings provide new "
6,degenerate,keyword,W4416246362,10.52202/085713-2168,Rectifying Shortcut Behaviors in Preference-based Reward Learning,2025,,0,green,https://arxiv.org/pdf/2510.19050,"In reinforcement learning from human feedback, preference-based reward models play a central role in aligning large language models to human-aligned behavior. However, recent studies show that these models are prone to reward hacking and often fail to generalize well due to over-optimization. They achieve high reward scores by exploiting shortcuts, that is, exploiting spurious features (e.g., response verbosity, agreeable tone, or sycophancy) that correlate with human preference labels in the training data rather than genuinely reflecting the intended objectives. In this paper, instead of probing these issues one at a time, we take a broader view of the reward hacking problem as shortcut behaviors and introduce a principled yet flexible approach to mitigate shortcut behaviors in preference-based reward learning. Inspired by the invariant theory in the kernel perspective, we propose Preference-based Reward Invariance for Shortcut Mitigation (PRISM), which learns group-invariant kernels with feature maps in a closed-form learning objective. Experimental results in several benchmarks show that our method consistently improves the accuracy of the reward model on diverse out-of-distribution tasks and reduces the dependency on shortcuts in downstream policy models, establishing a robust framework for preference-based alignment."
6,degenerate,keyword,W7166072762,10.5281/zenodo.20943191,Cake-Cut Training: Automatic Shortcut Discovery via Probe-Guided Data Partitioning,2026,Zenodo (CERN European Organization for Nuclear Research),0,green,https://doi.org/10.5281/zenodo.20943191,"Shortcut learning—where models exploit spurious correlations instead of learning the intended task—remains a central challenge in deep learning. Existing solutions either require prior knowledge of shortcut types (hand-specified data augmentation, adversarial debiasing) or group annotations for reweighting (GroupDRO, JTT). We propose Cake-Cut Training, a fully automatic pipeline that (1) uses linear probes to discover shortcut types from a briefly trained diagnostic model, (2) partitions the training data into sectors along each discovered shortcut axis, and (3) trains a gated ensemble where a feature-level combiner learns to suppress shortcut-reliant sub-models. Cake-Cut requires no prior specification of shortcut types, no group labels, and no adversarial objectives. On CIFAR-10 with injected dual shortcuts, Cake-Cut achieves 0.558 clean-test accuracy vs. 0.531 for standard training, with the best individual sector model reaching 0.563. On the Waterbirds benchmark, probe-guided data filtering alone produces a model trained on 10% of the data (480 samples) that achieves 0.905 average and 0.884 worst-group accuracy, within 3 points of GroupDRO (which requires explicit group labels). Ablation studies confirm that larger models (ResNet-34) and stronger augmentations (MixUp+CutMix) fail to match Cake-Cut’s shortcut resistance."
